,classifier name,imputation_strategy,scaling_strategy,balanced_accuracy,precision,recall,model_id,best_params
1,RandomForestClassifier,most_frequent,StandardScaler(),0.8992,0.9437,0.8992,1,"{'n_estimators': 150, 'min_samples_split': 4, 'min_samples_leaf': 4, 'criterion': 'gini', 'class_weight': 'balanced'}"
2,RandomForestClassifier,knn,StandardScaler(),0.8992,0.9437,0.8992,2,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 4, 'criterion': 'entropy', 'class_weight': 'balanced_subsample'}"
3,RandomForestClassifier,iterative,StandardScaler(),0.8992,0.9437,0.8992,3,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 4, 'criterion': 'gini', 'class_weight': 'balanced'}"
0,RandomForestClassifier,median,StandardScaler(),0.8680,0.9345,0.8680,0,"{'n_estimators': 150, 'min_samples_split': 2, 'min_samples_leaf': 4, 'criterion': 'entropy', 'class_weight': 'balanced_subsample'}"
