unit_id,num_spikes,firing_rate,presence_ratio,snr,isi_violations_ratio,isi_violations_count,sliding_rp_violation,amplitude_cutoff,amplitude_median,amplitude_cv_median,amplitude_cv_range,sync_spike_2,sync_spike_4,sync_spike_8,firing_range,drift_ptp,drift_std,drift_mad,sd_ratio,isolation_distance,l_ratio,d_prime,silhouette,nn_hit_rate,nn_miss_rate,peak_to_valley,peak_trough_ratio,half_width,repolarization_slope,recovery_slope,num_positive_peaks,num_negative_peaks
20,1767.0,0.9816558,1.0,4.0525894,0.0,0.0,0.07,0.00041332142,-75.531006,0.27832904,0.121913254,0.014714205,0.0,0.0,2.2,,,,,288.0918,0.00172303,10.031705,0.14154811,0.9615,0.01407767,0.0012,-0.14882393,0.00023,82886.82,-17791.848,1.0,1.0
22,1722.0,0.95665604,1.0,9.643288,0.0,0.0,0.07,0.0007690567,-214.00452,0.1763393,0.05628629,0.016260162,0.0,0.0,1.0,,,,,522.42303,0.0,20.228413,0.23179536,0.9995,0.0,0.00205,0.00017683693,0.00023,,,1.0,1.0
23,3647.0,2.0260887,1.0,3.5919344,0.045111217,1.0,0.155,0.00022808442,-56.648254,0.54795134,0.15533718,0.012887305,0.0,0.0,1.8,0.35364583,0.052528806,0.06678835,,46.592396,0.9727982,1.7007087,0.04809671,0.497,0.077937014,0.00207,0.0009743797,0.00022,,,1.0,1.0
24,1.0,0.0005555494,0.033333335,10.0389185,0.0,0.0,,,-195.12177,,,0.0,0.0,0.0,0.0,,,,,,,11.422486,1.0,0.0,0.0012327416,0.00146,0.009826363,0.00014,,,1.0,1.0
26,10.0,0.0055554938,0.3,2.8073359,0.0,0.0,,,-37.765503,,,0.1,0.0,0.0,0.0,,,,,7887611000000000.0,,7.424047,0.110579155,0.125,0.0015832328,0.0003,-0.9459613,0.00067,389693.97,-17697.3,2.0,2.0
27,22.0,0.012222086,0.5,2.5024068,0.0,0.0,,,-50.354004,,,0.0,0.0,0.0,0.2,,,,,3950818800000000.0,,4.3031697,0.11346975,0.4090909,0.002118644,0.00022,-0.5448736,0.00016,389779.4,-6025.669,3.0,1.0
28,58.0,0.032221865,0.8,2.2252505,0.0,0.0,,,-31.471252,,,0.0,0.0,0.0,0.2,,,,,571.7142,1.8759177e-08,7.3921633,0.033988584,0.5215517,0.007267442,0.00148,0.017798834,0.00073,,,1.0,1.0
29,1554.0,0.86332375,1.0,4.2664237,0.24845861,1.0,0.285,0.004130534,-69.236755,0.3431355,0.11238456,0.018018018,0.0,0.0,1.4,,,,,50.895424,0.6816195,2.089817,0.017536104,0.418,0.10828026,0.0007,-0.036013257,0.00018,296744.47,-3889.4048,1.0,1.0
30,59.0,0.032777414,0.8333333,1.7920481,0.0,0.0,,,-25.177002,,,0.0,0.0,0.0,0.2,,,,,597.982,5.825743e-06,7.7940884,0.033894792,0.61440676,0.008953168,0.00149,0.0011447092,0.00057,,,1.0,1.0
31,61.0,0.03388851,0.9,5.1699924,0.0,0.0,,,-81.82526,,,0.016393442,0.0,0.0,0.2,,,,,99.51154,0.0026947414,2.8638341,0.048181172,0.08196721,0.011026034,0.0007,-0.048052903,0.00017,322662.34,-638.4866,1.0,1.0
